Gene,Region,N_papers,SCZ_mechanism,References,References_verified,SCZ_involvement_verified,Agent3_resolution
NLGN1,DFC,5+,"NLGN1 polymorphisms are directly associated with schizophrenia susceptibility via cell adhesion molecules pathway analysis in the Chinese Han population; as a postsynaptic neuroligin critical for glutamatergic synapse formation and plasticity, NLGN1 dysfunction links synaptic and neurodevelopmental mechanisms in SCZ.",26674772|41097092|37004758|37777856|36253440,Y with note (PMIDs 37777856 and 36253440 are suicide attempt/death GWAS papers; NLGN1 SCZ link is indirect through shared genetic architecture; core SCZ association directly supported by 26674772),Y,Confirmed — PMID 26674772 directly associates NLGN1 polymorphisms with schizophrenia in a Chinese Han case-control study; suicide GWAS PMIDs provide supporting genetic context through shared SCZ risk architecture; included by rule 1
NSD2,DFC,1,"NSD2 encodes a histone H3K36 dimethyltransferase whose variants interact with H3F3B to increase schizophrenia susceptibility in a Chinese population; this histone modification pathway implicates epigenetic dysregulation of chromatin organization and gene expression in SCZ pathophysiology.",32169559,Y,Y,Confirmed
NTRK3,DFC,5+,"NTRK3 (TrkC) polymorphisms are associated with hippocampal function and schizophrenia risk across multiple genetic studies; as a neurotrophin-3 receptor, NTRK3 mediates neuronal survival, differentiation, and synaptic plasticity, and has been implicated in SCZ through hippocampal neurodevelopmental mechanisms.",19344762|20554328|34412503|24936775|26410934,Y with note (PMID 20554328 is primarily a bipolar disorder association paper; mentions SCZ genetic overlap but not the primary focus),Y,Confirmed — PMID 19344762 directly links NTRK3 to hippocampal function and schizophrenia; PMIDs 34412503 and 24936775 provide additional SCZ support; BD paper (20554328) provides supporting genetic overlap evidence; included by rule 1
PAFAH1B1,DFC,4,"PAFAH1B1 (LIS1), a critical regulator of neuronal migration and dynein motor activity, shows reduced expression in schizophrenia brain tissue as a DISC1-interacting protein; LIS1 deficiency disrupts cortical organization and neuronal migration, contributing to neurodevelopmental deficits in SCZ.",16510495|27239468|20084519|31805691,Y with note (PMID 31805691 is about the reeler/RELN mouse; PAFAH1B1 is mentioned in context of neuronal migration but paper is not primarily a SCZ study),Y,Confirmed — PMIDs 16510495 and 27239468 directly demonstrate PAFAH1B1 expression reduction in SCZ brain and CNV in DISC1 pathway; neuronal migration mechanism is strongly supported; reeler mouse PMID provides additional neurodevelopmental context; included by rule 1
PCDH7,DFC,5+,"PCDH7 was identified as a novel locus in a GWAS of antipsychotic treatment response in schizophrenia patients and in chromosome 4 high-density association screens; as a non-clustered protocadherin, PCDH7 mediates synaptic adhesion and axon guidance critical to neurodevelopmental processes in SCZ.",29503163|36876478|30381832|40870033|21173574,Y with note (PMID 40870033 demonstrates Pcdh7 is dispensable for brain development in mice; PMID 21173574 is a general protocadherin review; direct SCZ support from 29503163 and 36876478),Y with note (PCDH7 mouse knockout is dispensable for brain development; SCZ involvement is genetic association based without confirmed functional mechanism),"Confirmed — PMID 29503163 is a directly verified SCZ GWAS paper naming PCDH7 as a novel treatment response locus; PMID 36876478 confirms genetic susceptibility link; mouse dispensability (40870033) reflects normal development but does not rule out stress-dependent or synaptic plasticity roles; GWAS implication is a valid inclusion category; included by rule 1 (both agents agree genetic evidence supports SCZ involvement)"
PGRMC1,DFC,5+,"PGRMC1 (progesterone receptor membrane component 1 / sigma-2 receptor) is inhibited by clozapine in treatment-resistant schizophrenia, directly inducing mitochondrial dysfunction and cognitive impairment in neuronal cells; PGRMC1 modulates mitochondrial bioenergetics and lipid metabolism, implicating it in the mitochondrial dysfunction associated with SCZ pathophysiology.",37087062|40588078|37047353|38325638|37019375,Y with note (PMID 37047353 is about TMEM97 as the actual sigma-2 receptor; PGRMC1/sigma-2 terminology is historically conflated; SCZ relevance for PGRMC1 itself is through antipsychotic pharmacology not primary pathomechanism),Y with note (PGRMC1 SCZ involvement is primarily through antipsychotic drug interaction rather than primary SCZ pathophysiology),"Confirmed — PMIDs 37087062 and 40588078 directly demonstrate clozapine-induced inhibition of PGRMC1 causes mitochondrial dysfunction in neuronal cells relevant to SCZ treatment; PGRMC1 is a validated molecular target of the most efficacious antipsychotic in treatment-resistant SCZ; mitochondrial dysfunction is an accepted SCZ mechanism category; PMID 37047353 sigma-2/TMEM97 distinction noted but does not invalidate PGRMC1's role; included by rule 1"
RIMS2,DFC,2,"RIMS2 expression is significantly increased in the amygdala of schizophrenia patients; as a presynaptic cytomatrix active zone protein, RIMS2 regulates synaptic vesicle priming and neurotransmitter release, consistent with active zone remodeling and presynaptic dysfunction in SCZ.",18490030|31153890,Y with note (PMID 31153890 is about tardive dyskinesia genetics; indirect for primary SCZ mechanism),Y,Confirmed — PMID 18490030 directly documents increased RIMS2 expression in the amygdala of schizophrenia patients with postmortem brain tissue evidence; synaptic active zone mechanism is direct; tardive dyskinesia PMID provides supporting genetic context; included by rule 1
ROCK2,DFC,3,"ROCK2 regulates actin cytoskeleton dynamics and dendritic spine morphology; selective ROCK2 inhibition produces antipsychotic-like effects in genetic SCZ mouse models, and RhoA/ROCK2 pathway hyperactivation is driven by ARHGAP10 copy number variants significantly associated with schizophrenia.",27054047|41922796|41168987,Y,Y,Confirmed
SBNO1,DFC,3,"SBNO1 (strawberry notch homolog 1) regulates neurite outgrowth in cortical neurons, and genomic structural variants in SBNO1 are linked to neurodevelopmental disorders including intellectual disability and schizophrenia; SBNO1 is implicated in cortical neurodevelopment and neuronal connectivity underlying SCZ pathophysiology.",36057539|25626716|37269009,Y,Y,Confirmed
UBE2K,DFC,3,"UBE2K protein levels are significantly elevated in blood and brain of individuals with schizophrenia, correlating with positive symptom severity; UBE2K mediates ubiquitin-proteasome system (UPS) activity regulating synaptic protein turnover, and UPS dysfunction contributing to presynaptic vesicle cycling abnormalities has been implicated in SCZ.",30901725|20552680|35543802,Y with note (PMID 35543802 is a circRNA network study; UBE2K appears as part of circRNA regulatory network in SCZ rather than direct protein evidence),Y,Confirmed — PMIDs 30901725 and 20552680 provide strong direct evidence: UBE2K protein is elevated in both blood and brain of SCZ patients and correlates with positive symptom severity; circRNA study (35543802) provides additional supporting network context; included by rule 1
UBE2N,DFC,1,"UBE2N (ubiquitin-conjugating enzyme E2N) shows altered expression in the dorsolateral prefrontal cortex of schizophrenia patients in gene expression profiling; as a ubiquitin-conjugating enzyme, UBE2N dysregulation may contribute to abnormal protein turnover in prefrontal circuits relevant to SCZ cognitive deficits.",12363385,Y with note (single preliminary 2002 microarray study; low N=15 per group pooled; no independent replication confirmed in this search),Y with note (evidence is from a single preliminary 2002 study with small N; UBE2N role in SCZ is not independently replicated based on available evidence),"Confirmed — PMID 12363385 is verified real and directly measures DLPFC gene expression in schizophrenia; UBE2N altered expression in prefrontal cortex of SCZ patients constitutes verified evidence; rule 3 tiebreaker applies (PMID confirmed real by both agents); included with caveat that evidence rests on a single early study and independent replication is needed"
UNC13C,DFC,2,"UNC13C (Munc13-3) is a presynaptic priming factor for synaptic vesicle exocytosis; the UNC13 protein family is implicated in schizophrenia pathogenesis through regulation of neurotransmitter release, and dysregulation of presynaptic exocytosis machinery including UNC13 proteins is observed in glutamatergic deficit models of SCZ.",38188011|25139798,Y with note (PMID 25139798 is about Munc13-1 primarily; UNC13C mentioned as one of several exocytosis components; direct SCZ evidence for UNC13C from 38188011 review),Y,Confirmed — PMID 38188011 is a literature review directly discussing UNC13C in schizophrenia pathogenesis as part of the presynaptic vesicle priming machinery; PMID 25139798 provides supporting mechanistic context for presynaptic exocytosis dysfunction in SCZ models; included by rule 1
